code,name,est_sum_total_est
163262.0,رودهن - آمل (سه راه سنگچال - پارک جنگلي),249722
163501.0,بهشهر - گلوگاه,249603
513621,آزادراه ساوه - همدان (عوارضي ساوه),249358
183105,کرج - چالوس (گچسر),248906
114451,شريف آباد - پاکدشت,248553
413174,کازرون - شيراز (دشت ارژن - خان زنيان),248273
313904,قوچان - چناران (دستگاه توزين),248004
413222,شيراز - کازرون (جنب سيستم WIM),247744
873302,شاهرود - دامغان (دهملا - دامغان),246994
413124,شيراز - کازرون (خان زنيان - دشت ارژن),246677
873202,دامغان - سمنان (متناظر wim - صيد آباد),245774
873101,سرخه - آرادان,245053
413272,کازرون - شیراز (جنب سیستم WIM),244511
214902,آزادراه نطنز - اصفهان (نطنز),244052
713153,ماهيدشت - کرمانشاه,243803
913226,اردبيل - آستارا (اردبيل - گيلانده),243707
163107,فيروزکوه - قائمشهر (گدوک - ورسک),243705
184202,ماهدشت - اشتهارد,243663
214256,آزادراه کاشان - نطنز (کاشان),243029
753703,ملاير - بروجرد,242970
164654,چالوس - کرج (مرزن آباد - مکارود),242684
313101,سه‌راه باغچه - نيشابور (ابرش),242349
973651,گاليکش - مينودشت,241982
873452,ايوانکي - شريف‌آباد,241496
544201,بازارجمعه - فومن,240820
113418.0,دماوند - فيروزکوه (سربندان - امين‌آباد),240807
113478,جاده مخصوص کرج - تهران (وردآورد),240736
414851,جاده قديم مرودشت - سعادت شهر,240670
544359,صومعه سرا - فومن,240566
513671,آزادراه همدان - ساوه (عوارضي ساوه),240388
113408,آبعلي - پلور (آبعلي - سه‌راهي مشاء),239901
873105,سمنان - سرخه,239697
973952,گنبد - آزادشهر,239423
544309,فومن - صومعه سرا,239036
513608,آزادراه ساوه - سلفچگان (ساوه - آوه),238494
873154,دامغان - سمنان (دامغان - قوشه),238326
753294,آزادراه ساوه _ همدان (چپقلو),238241
414852,صفاشهر - سعادتشهر,237814
753153,جوکار - همدان,237794
113551,گدوک - فيروزکوه,236755
513670,آزادراه تهران - ساوه (پليس‌راه ساوه),236754
753244,آزادراه همدان _ ساوه (چپقلو),236721
263237,آزادراه تبريز - زنجان (بستان آباد),236342
153164,آزادراه کرج - قزوين (3کيلومتر بعد از عوارضي1 قزوين),236266
113263,لواسانات - تهران (طلائيه),236058
313959,فاروج - قوچان (قوچان),235687
643194,بندرعباس - سه راه بابا غلام,235489
264405,آزادراه تبريز - زنجان (عوارضي تبريز - بستان‌آباد),234773
543222,سنگر - سياهکل,234755
163851,رامسر - تنکابن,234517
873255,دامغان - سمنان (قوشه - سمنان),234280
753103,همدان - جوکار,233727
183170,چالوس - کرج (کندوان),233656
544501,لاهيجان - سياهکل,233529
163157,قائمشهر - فيروزکوه (ورسک - گدوک),233286
573222,اروميه - بند,233158
183155,چالوس - کرج (گچسر),233034
163154.0,ساري - خزرآباد,232677
753104,آزادراه همدان - ساوه (پل 123 - دخان),232262
264502,صوفيان - مرند,231689
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),231574
873377,بسطام - شاهرود,231400
363364,کمربندي دزفول - انديمشک (شرق به غرب),231279
264552,مرند - صوفيان,231186
513265,بروجرد - توره (توره),231121
873155,سرخه - سمنان,231119
873402,شريف آباد - ايوانکي,230981
873151,آرادان - سرخه,230362
573272,بند - اروميه,229884
413161,شيراز - کوار (سه‌راهي کوار - کوار),229856
164605.0,چالوس - کرج (هزارچم - سياه بيشه),229810
973601,مينودشت - گاليکش,229576
