code,name,avg_speed_1to3,avg_spped_total,diff_speed
114256,وردآورد - تهران (همت),98,98,0
333224,اسديه - گزيک (مرز),87,87,0
933157,فولادآلياژي - يزد,75,75,0
314151,تايباد - خواف,78,78,0
314104,خواف - رشتخوار,96,96,0
333221,نهبندان - شهداد,93,93,0
314203,درگز - کلات (کيلومتر 13),87,87,0
544501,لاهيجان - سياهکل,48,48,0
913552,اصلاندوز - سه‌راهي سربند,58,58,0
613269,زابلي - ايرانشهر,44,44,0
933158,خويدک - يزد,65,65,0
314101,خواف - تايباد,85,85,0
933109,يزد - تفت,86,86,0
573402,تکاب - دندي,81,81,0
333201,نهبندان - زابل (نهبندان),85,85,0
573605,سردشت - مرزکيله,52,52,0
323101,بجنورد - شيروان (بجنورد),82,82,0
573275.0,سلماس - اروميه(سلماس - نوشين شهر),83,83,0
323103,بجنورد - آشخانه (کريک),83,83,0
323153,آشخانه - بجنورد (کريک),80,80,0
573652,بانه - سردشت (سردشت),65,65,0
913904,گرمي - اردبيل (رضي - سه‌راه مشکين‌شهر),98,98,0
573302,مهاباد - پيرانشهر (پسوه),73,73,0
323155.0,بجنورد - شيروان (سيساب) (متناظر توزين),86,86,0
323203,گرمه - ميامي (گرمه),79,79,0
573602,سردشت - بانه (سردشت),56,56,0
573273,امام زاده - اروميه,93,93,0
573551,خوي - سه راه ايواغلي,79,79,0
913901,مشگين شهر - اهر,61,61,0
323258,چمن بيد - گرمه,94,94,0
573517.0,قره ضياالدين - چالدران,72,72,0
323257,سه راهي ايرج - سنخواست,85,85,0
