code,name,est_sum_total_est
113501,فيروزکوه - گدوک,506395
873302,شاهرود - دامغان (دهملا - دامغان),506161
164654,چالوس - کرج (مرزن آباد - مکارود),506105
164655,کرج - چالوس (سياه بيشه - هزارچم),505865
973951,مينودشت - آزادشهر,505663
313802,مشهد - تربت حیدریه (باغچه - رباط سنگ),504360
153271.0,اشتهارد - بوئين زهرا,504078
753245,همدان - صالح آباد,503861
183216,آزاد راه تهران - شمال (قطعه اول، بعد از تونل 16),503510
163214,آمل - رودهن (شاه زيد - سه راه بلده),501114
973503,گنبد - مينودشت,500268
164107,قائمشهر - فيروزکوه (گرزين خيل - ورسک),499705
414102,شيراز - سروستان,499537
214952.0,آزادراه اصفهان - نطنز (نطنز),499231
643231.0,بندرعباس - ايسين(راه آهن),498720
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),496950
573273,امام زاده - اروميه,496606
513620.0,آزادراه ساوه - تهران (پليس‌راه ساوه) (متناظر توزين),496563
513111,اراك - فرمهين,495918
873301,شاهرود - ميامي (متناظر توزين),495827
113468,فيروزکوه - دماوند (امين‌آباد - سربندان),495391
414801,جاده قديم سعادت شهر - مرودشت,494856
544551,سياهکل - لاهيجان,494247
114301,کمربندي دوم تهران (جاده ورامين - شورآباد),493918
213156,زيار - اصفهان,493324
163370,کمربندي جنوبي بابل (آمل - بابل),493300
313959,فاروج - قوچان (قوچان),493169
873154,دامغان - سمنان (دامغان - قوشه),492934
544501,لاهيجان - سياهکل,492796
315751,سبزوار - نيشابور (نيشابور),491426
873101,سرخه - آرادان,490545
543222,سنگر - سياهکل,489753
873202,دامغان - سمنان (صيد آباد) (متناظر توزين),489596
543118,لنگرود - چمخاله,489123
143116.0,آزادراه قم - کاشان (قم - تقاطع جاده قديم),489101
543168,چمخاله - لنگرود,488676
573223,اروميه - امام زاده,487937
643281,ايسين - بندرعباس(راه آهن),486705
