code,type,origin,destination,place
215255,,بروجن,مبارکه,قمشلو
215301,,چادگان,داران,
215302,,تیران,چادگان,سه راهی سد زاینده‌رود
215351,,داران,چادگان,
215352,,چادگان,تیران,سه‌راهی سد زاینده‌رود
263101,,تبریز,صوفیان,
263102,,ایلخچی,آذرشهر,
263103,,تبریز,جزیره اسلامی,
263104,آزادراه,تبریز,زنجان,بستان‌آباد - هشترود
263105,آزادراه,تبریز,زنجان,هشترود - عوارضی میاندوآب
263107,جاده قدیم,بستان‌آباد,تبریز,
263110,,تبریز,ایلخچی,
263111,آزادراه,تبریز,زنجان,تبریز - عوارضی تبریز
263112,کمربندی,غربی تبریز,صوفیان,
263151,,صوفیان,تبریز,
263152,,آذرشهر,ایلخچی,
263153,,جزیره اسلامی,تبریز,
263154,آزادراه,زنجان,تبریز,هشترود - بستان‌آباد
263155,آزادراه,زنجان,تبریز,عوارضی میاندوآب - هشترود
263157,جاده قدیم,تبریز,بستان‌آباد,
263160,,ایلخچی,تبریز,
263161,آزادراه,زنجان,تبریز,عوارضی تبریز - تبریز
263162,,صوفیان,کمربندی غربی تبریز,
263201,,آذرشهر,عجب شیر,
263236,,کنار گذر جنوبی شهید کسایی (باسمنج,تبریز),
263237,آزادراه,تبریز,زنجان,بستان آباد) (متناظر توزین
263251,,عجب شیر,آذرشهر,
263286,,کنار گذر جنوبی شهید کسایی (تبریز,باسمنج),
263287,آزادراه,زنجان,تبریز,بستان آباد
263301,,سهند,تبریز,
