|code|nowruz_02|nowruz_03
648|453251|['1401-12-26', '1401-12-29', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05']|['1402-12-29', '1403-01-01', '1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06']
649|453253|['1402-01-13']|
650|453254|['1402-01-13']|
651|453254.0||['1403-01-13']
652|453256|['1401-12-22', '1401-12-23', '1401-12-24', '1401-12-25', '1401-12-26', '1401-12-27']|['1402-12-19', '1403-01-08', '1403-01-09', '1403-01-13']
653|453297|['1402-01-13']|
654|453299|['1402-01-13']|['1403-01-13']
655|453301|['1402-01-13']|
656|453302|['1402-01-13']|
657|453303||['1403-01-13']
658|453311|['1402-01-13']|
659|453351||['1402-12-13', '1402-12-21']
660|453352|['1402-01-12']|['1403-01-12']
661|453361|['1402-01-13']|['1403-01-13']
662|453401|['1402-01-05', '1402-01-13']|['1403-01-04', '1403-01-13']
663|453404|['1402-01-13']|
664|453451|['1402-01-05']|['1403-01-04', '1403-01-13']
665|453502|['1401-12-10', '1401-12-11', '1401-12-12', '1401-12-13']|
666|453505|['1402-01-12', '1402-01-13']|
667|453555|['1402-01-13']|['1403-01-13']
668|453602|['1402-01-13']|
669|453603|['1402-01-13']|
670|453611|['1401-12-23', '1402-01-13']|
671|453619|['1402-01-13']|
672|453651||['1402-12-23']
673|453652|['1402-01-13']|
674|453653|['1402-01-13']|
675|453655|['1402-01-13']|
676|453661|['1401-12-23', '1402-01-13', '1402-01-14']|
677|453669|['1402-01-13']|
678|453699|['1401-12-28', '1401-12-29']|
679|453702||['1402-12-21', '1402-12-28', '1402-12-29', '1403-01-03', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-12', '1403-01-19', '1403-01-20']
680|453704|['1401-12-29', '1402-01-02', '1402-01-03', '1402-01-04']|
681|453707|['1402-01-13']|
682|453751|['1401-12-24', '1401-12-25']|['1402-12-16', '1402-12-23']
683|453753|['1401-12-28', '1401-12-29']|
684|453754|['1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10', '1402-01-11', '1402-01-13']|
685|453757|['1402-01-13']|['1403-01-13']
